Plant1_System1_OperationDevice_PM2100_Pm2100Parameters_VoltStatus,15119,Variable
Plant1_System1_OperationDevice_PM2100_Pm2100Parameters_Frequency,15120,Variable
Plant1_System1_OperationDevice_PM2100_Pm2100Parameters_Power,15121,Variable
Plant1_System1_OperationDevice_PM2100_Pm2100Parameters_PowerStatus,15122,Variable
Plant1_System1_OperationDevice_PM2100_Pm2100Parameters_PowerFactor,15123,Variable
Plant1_System1_OperationDevice_PM2100_Pm2100Parameters_Status,15124,Variable
Plant1_System1_OperationDevice_VFD,15125,Object
Plant1_System1_OperationDevice_VFD_VFDRead,15126,Object
Plant1_System1_OperationDevice_VFD_VFDRead_FrequencyCommand,15127,Variable
Plant1_System1_OperationDevice_VFD_VFDRead_FrequencyOutput,15128,Variable
Plant1_System1_OperationDevice_VFD_VFDRead_CurrentOutput,15129,Variable
Plant1_System1_OperationDevice_VFD_VFDRead_VoltageCommand,15130,Variable
Plant1_System1_OperationDevice_VFD_VFDRead_DCBusVoltage,15131,Variable
Plant1_System1_OperationDevice_VFD_VFDWrite,15132,Object
Plant1_System1_OperationDevice_VFD_VFDWrite_FrequencyWrite,15133,Variable
Plant1_System1_OperationDevice_VFD_VFDWrite_ControlRunWrite,15134,Variable
Plant1_System1_LOGO8,15135,Object
Plant1_System1_LOGO8_TrafficLight,15136,Object
Plant1_System1_LOGO8_TrafficLight_Green1,15137,Variable
Plant1_System1_LOGO8_TrafficLight_Yellow1,15138,Variable
Plant1_System1_LOGO8_TrafficLight_Red1,15139,Variable
Plant1_System1_LOGO8_TrafficLight_Green2,15140,Variable
Plant1_System1_LOGO8_TrafficLight_Yellow2,15141,Variable
Plant1_System1_LOGO8_TrafficLight_Red2,15142,Variable
Plant1_System1_LOGO8_TrafficLight_Green3,15143,Variable
Plant1_System1_LOGO8_TrafficLight_Yellow3,15144,Variable
Plant1_System1_LOGO8_TrafficLight_Red3,15145,Variable
Plant1_System1_LOGO8_TrafficLight_Green4,15146,Variable
Plant1_System1_LOGO8_TrafficLight_Yellow4,15147,Variable
Plant1_System1_LOGO8_TrafficLight_Red4,15148,Variable
Plant1_System1_LOGO8_TrafficLightCount,15149,Object
Plant1_System1_LOGO8_TrafficLightCount_Green1Count,15150,Variable
Plant1_System1_LOGO8_TrafficLightCount_Yellow1Count,15151,Variable
Plant1_System1_LOGO8_TrafficLightCount_Red1Count,15152,Variable
Plant1_System1_LOGO8_TrafficLightCount_Green2Count,15153,Variable
Plant1_System1_LOGO8_TrafficLightCount_Yellow2Count,15154,Variable
Plant1_System1_LOGO8_TrafficLightCount_Red2Count,15155,Variable
Plant1_System1_LOGO8_TrafficLightCount_Green3Count,15156,Variable
Plant1_System1_LOGO8_TrafficLightCount_Yellow3Count,15157,Variable
Plant1_System1_LOGO8_TrafficLightCount_Red3Count,15158,Variable
Plant1_System1_LOGO8_TrafficLightCount_Green4Count,15159,Variable
Plant1_System1_LOGO8_TrafficLightCount_Yellow4Count,15160,Variable
Plant1_System1_LOGO8_TrafficLightCount_Red4Count,15161,Variable
Plant1_System1_SpeedController,15162,Object
Plant1_System1_SpeedController_SetPoint,15163,Variable
Plant1_System1_SpeedController_Kp,15164,Variable
Plant1_System1_SpeedController_Ki,15165,Variable
Plant1_System1_SpeedController_Kd,15166,Variable
